,,,,交通银行,"",nick,add,v0.1,1558931397,1558931397,0101000020E610000073840CE4D9115E40FF9600FC538E3F40,{60101},{160305},B0FFK7V19R,{gaode},2731070824381415425,320211,交通银行ATM(荷叶天惠超市单机),交通银行ATM(荷叶天惠超市单机),,,江苏省,无锡市,滨湖区,河埒,,,,,,,,,,,住友路荷叶新村100-5号,{66100005},,{ATM},,,"",,13664,"{""type"":""Point"",""coordinates"":[120.278924,31.555969]}"
,,,,光大银行,"",nick,add,v0.1,1558931399,1558931399,0101000020E61000000AD9791B9B105E4058A9A0A2EA8F3F40,{60101},{160310},B0FFGPHV69,{gaode},2731070824357298177,320211,中国光大银行24小时自助银行(滨湖支行),中国光大银行24小时自助银行(滨湖支行),,,江苏省,无锡市,滨湖区,河埒,,,,,,,,,,,梁溪路700-5-11号,{66100012},,{ATM},,,"",,13814,"{""type"":""Point"",""coordinates"":[120.259467,31.562174]}"
,,,,中信银行,"",nick,add,v0.1,1558931398,1558931398,0101000020E6100000E25B5837DE105E40299831056B8C3F40,{60101},{160308},B0FFFVHCAI,{gaode},2731070824405532673,320211,中信银行24小时自助银行(建筑路),中信银行24小时自助银行(建筑路),,,江苏省,无锡市,滨湖区,,,,,,,,,,,,建筑路1193号,{66100008},,{ATM},,,"",,7058,"{""type"":""Point"",""coordinates"":[120.263563,31.548508]}"
,,,,中信银行,"",nick,add,v0.1,1558931398,1558931398,0101000020E6100000BC24CE8AA8075E40C49448A2978D3F40,{60101},{160308},B0FFFWFJ5L,{gaode},2731070949453463553,320211,中信银行24小时自助银行(环镇北路),中信银行24小时自助银行(环镇北路),,,江苏省,无锡市,滨湖区,,,,,,,,,,,,环镇北路附近,{66100008},,{ATM},,,"",,7440,"{""type"":""Point"",""coordinates"":[120.119662,31.553095]}"
,,,,无锡农村商业银行,"",nick,add,v0.1,1558931402,1558931402,0101000020E6100000D388997D1E115E4027F6D03E56883F40,{60101},{160318},B01FE16U2W,{gaode},2731070824436989953,320211,无锡农村商业银行ATM(夏家边分理处),无锡农村商业银行ATM(夏家边分理处),,,江苏省,无锡市,滨湖区,蠡湖,,,,,,,,,,,夏家边家园20-5号,{66100033},,{ATM},,,"",,7605,"{""type"":""Point"",""coordinates"":[120.267486,31.532566]}"
,,,,无锡农村商业银行,"",nick,add,v0.1,1558931402,1558931402,0101000020E61000003C670B08AD105E40058A58C4B08F3F40,{60101},{160318},B01FE1A5XX,{gaode},2731070824360443906,320211,无锡农村商业银行24小时自助银行(河埒支行),无锡农村商业银行24小时自助银行(河埒支行),,,江苏省,无锡市,滨湖区,河埒,,,,,,,,,,,青山西路32-1-3,{66100033},,{ATM},,,"",,7607,"{""type"":""Point"",""coordinates"":[120.260561,31.561291]}"
,,,,农业银行,"",nick,add,v0.1,1558931396,1558931396,0101000020E6100000639AE95E27115E40494739984D703F40,{60101},{160304},B01FE166T0,{gaode},2731070818313306113,320211,中国农业银行24小时自助银行(无锡山水城支行),中国农业银行24小时自助银行(无锡山水城支行),,,江苏省,无锡市,滨湖区,,,,,,,,,,,,南泉庭园58号,{66100004},,{ATM},,,"",,6067,"{""type"":""Point"",""coordinates"":[120.268028,31.438684]}"
,,,,农业银行,"",nick,add,v0.1,1558931396,1558931396,0101000020E61000004014CC9882115E4031D3F6AFAC8C3F40,{60101},{160304},B01FE0IATJ,{gaode},2731070824387706881,320211,中国农业银行24小时自助银行(无锡新梁溪支行),中国农业银行24小时自助银行(无锡新梁溪支行),,,江苏省,无锡市,滨湖区,河埒,,,,,,,,,,,建筑路406-6-8、10-11,{66100004},,{ATM},,,"",,6250,"{""type"":""Point"",""coordinates"":[120.273596,31.54951]}"
,,,,农业银行,"",nick,add,v0.1,1558931396,1558931396,0101000020E6100000A054FB743C125E40C2F869DC9B873F40,{60101},{160304},B0FFFV3ERH,{gaode},2731070824461107201,320211,中国农业银行24小时自助银行(无锡滨湖中南社区),中国农业银行24小时自助银行(无锡滨湖中南社区),,,江苏省,无锡市,滨湖区,蠡湖,,,,,,,,,,,金蠡路中南发展大厦,{66100004},,{ATM},,,"",,6251,"{""type"":""Point"",""coordinates"":[120.28494,31.529722]}"
,,,,农业银行,"",nick,add,v0.1,1558931396,1558931396,0101000020E6100000EF1F0BD1210F5E40F5A10BEA5B8E3F40,{60101},{160304},B01FE0K9HP,{gaode},2731070820893851649,320211,中国农业银行24小时自助银行(无锡荣巷支行),中国农业银行24小时自助银行(无锡荣巷支行),,,江苏省,无锡市,滨湖区,荣巷,,,,,,,,,,,梁溪路851号,{66100004},,{ATM},,,"",,6259,"{""type"":""Point"",""coordinates"":[120.236439,31.55609]}"
,,,,农业银行,"",nick,add,v0.1,1558931396,1558931396,0101000020E610000098F90E7EE2075E409EB30584D68B3F40,{60101},{160304},B01FE0K0GG,{gaode},2731070949498552321,320211,中国农业银行ATM(振胡街),中国农业银行ATM(振胡街),,,江苏省,无锡市,滨湖区,,,,,,,,,,,,振胡路21号,{66100004},,{ATM},,,"",,6261,"{""type"":""Point"",""coordinates"":[120.123199,31.546242]}"
,,,,农业银行,"",nick,add,v0.1,1558931396,1558931396,0101000020E610000034BF9A0304155E40166EF9484A823F40,{60101},{160304},B01FE0K5IY,{gaode},2731070819076669443,320211,中国农业银行24小时自助银行(无锡新城支行),中国农业银行24小时自助银行(无锡新城支行),,,江苏省,无锡市,滨湖区,华庄,,,,,,,,,,,落霞商业街14-15号,{66100004},,{ATM},,,"",,6263,"{""type"":""Point"",""coordinates"":[120.32837,31.508946]}"
,,,,中信银行,"",nick,add,v0.1,1558931398,1558931398,0101000020E61000007FD93D7958115E40EFE3688EAC8C3F40,{60101},{160308},B01FE0HYLD,{gaode},2731070824401338369,320211,中信银行24小时自助银行(无锡滨湖支行),中信银行24小时自助银行(无锡滨湖支行),,,江苏省,无锡市,滨湖区,河埒,,,,,,,,,,,建筑路496之10-13号,{66100008},,{ATM},,,"",,6286,"{""type"":""Point"",""coordinates"":[120.271025,31.549508]}"
,,,,农业银行,"",nick,add,v0.1,1558931396,1558931396,0101000020E6100000F67D384888135E40C87E164B917C3F40,{60101},{160304},B0FFFA55DE,{gaode},2731070818897362945,320211,中国农业银行24小时自助银行(无锡分行),中国农业银行24小时自助银行(无锡分行),,,江苏省,无锡市,滨湖区,,,,,,,,,,,,金融二街15,{66100004},,{ATM},,,"",,9669,"{""type"":""Point"",""coordinates"":[120.305193,31.486592]}"
,,,,交通银行,"",nick,add,v0.1,1558931397,1558931397,0101000020E61000001D007157AF165E409A266C3F19833F40,{60101},{160305},B0FFFFU11G,{gaode},2731070824802942977,320211,交通银行ATM(菱湖大道),交通银行ATM(菱湖大道),,,江苏省,无锡市,滨湖区,,,,,,,,,,,,高浪东路518号,{66100005},,{ATM},,,"",,16092,"{""type"":""Point"",""coordinates"":[120.354452,31.512104]}"
,,,,无锡农村商业银行,"",nick,add,v0.1,1558931400,1558931400,0101000020E6100000683C11C4790E5E40E945ED7E15943F40,{60101},{160318},B0FFHYOOXY,{gaode},2731070820971446273,320211,无锡农村商业银行24小时自助银行服务,无锡农村商业银行24小时自助银行服务,,,江苏省,无锡市,滨湖区,,,,,,,,,,,,钱荣路辅路,{66100033},,{ATM},,,"",,4300,"{""type"":""Point"",""coordinates"":[120.226182,31.578453]}"
,,,,交通银行,"",nick,add,v0.1,1558931397,1558931397,0101000020E61000003126FDBD14155E40035B25581C823F40,{60101},{160305},B0FFFEJQK9,{gaode},2731070819076669442,320211,交通银行ATM(瑞景道),交通银行ATM(瑞景道),,,江苏省,无锡市,滨湖区,华庄,,,,,,,,,,,落霞苑商业街16号,{66100005},,{ATM},,,"",,16093,"{""type"":""Point"",""coordinates"":[120.329391,31.508245]}"
